Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
Свердловский (Щелковский район);7992;2405;0.30092592592592593;2;2;2;4045;1;1202
Славянск-на-Кубани;11739;2159;0.18391685833546298;4;20;4;3485;5;540
Кисловодск;9834;1065;0.10829774252593044;2;5;2;5667;2;532
Степаньково (Пушкинский район);5840;1793;0.3070205479452055;2;12;1;3239;6;1793
Белая Калитва;6029;751;0.12456460441200863;2;5;2;3614;2;376
Балаково;32185;4081;0.12679819791828492;7;19;7;4516;3;583
Мебельной Фабрики (Мытищинский район);3675;-799;-0.21741496598639456;1;3;1;3724;3;-799
Коломна-1 (Коломенский район);1096;447;0.40784671532846717;1;3;1;1819;3;447
Нестерово (Раменский район);1905;615;0.3228346456692913;1;2;1;1954;2;615
Биробиджан;5264;1439;0.27336626139817627;1;7;1;8364;7;1439
Туймазы;11888;3257;0.2739737550471063;2;5;2;6894;2;1628
Павловская Слобода (Истринский район);28482;6222;0.218453760269644;4;18;4;7207;4;1556
Семикаракорск;1899;471;0.2480252764612954;1;1;1;2619;1;471
Вешки (Мытищинский район);48671;6031;0.12391362412935834;8;96;4;6484;12;1508
Крымск;10399;1354;0.13020482738724878;4;15;4;2967;4;338
Пущино (Московская область район);13988;1353;0.09672576494137833;4;76;2;3546;19;676
Нижнеудинск;6120;-2001;-0.3269607843137255;1;1;1;7520;1;-2001
Юрлово (Солнечногорский район);36499;8803;0.2411846899915066;1;1;1;38499;1;8803
Абакан;4468;916;0.20501342882721577;2;2;2;2959;1;458
Черкизово (Пушкинский район);6013;1096;0.18227174455346748;2;19;1;3442;10;1096
Зарайск (Зарайский район);3331;-64;-0.019213449414590213;2;3;1;1966;2;-64
Дубровский (Ленинский район);1299;250;0.1924557351809084;1;1;1;1599;1;250
Павлино (Балашихинский район);2100;680;0.3238095238095238;1;1;1;2199;1;680
Невинномысск;12502;1653;0.13221884498480244;2;10;2;7001;5;826
Тосно;6845;1435;0.20964207450693936;2;5;2;4372;2;718
Тимашевск;4316;125;0.02896200185356812;1;1;1;5266;1;125
Дубовая Роща (Раменский район);4260;1606;0.3769953051643192;1;1;1;4309;1;1606
Оболенск (Серпуховский район);1956;742;0.37934560327198363;1;5;1;2406;5;742
Отрадное;7405;2140;0.2889939230249831;1;8;1;7189;8;2140
Ногинск-4 (Ногинский район);2898;394;0.13595583160800553;2;2;1;5696;1;394
Чусовой;9959;2505;0.25153127824078725;2;20;2;6104;10;1252
Маркс;2698;226;0.083765752409192;1;1;1;3648;1;226
Люберцы-2 (Люберецкий район);16218;434;0.02676038969046738;6;24;6;2752;4;72
Мисайлово (Ленинский район);414;55;0.13285024154589373;1;4;1;714;4;55
Ачинск;22118;3565;0.16118093860204358;3;21;2;8715;7;1782
