Кластер 1;Кластер 2;Кластер 3;Кластер 4
3902;4599;1205;1390
12932;849;781;28050
1392;1344;10690;8990
1350;927;2596;5372
907;2325;660;3039
1654;846;11064;32770
1554;6786;510;4332
845;4127;474;3243
2419;1837;2546;19475
3390;4299;2616;4679
886;1099;1130;14700
1058;803;2220;6230
4466;1367;1456;605
11057;3598;369;6799
3672;5599;485;9940
1676;6126;1468;1280
4541;2682;1398;9460
763;1999;6292;35000
1450;1599;1250;1690
5465;6252;2299;3799
2771;6311;2825;11694
21572;3499;1216;32290
2215;3034;5425;16150
2607;12538;1878;21299
4116;1099;277;4727
3067;4499;1114;3330
3547;699;519;7000
6251;3299;6999;5379
1763;9558;1260;20152
5354;1099;1752;2130
2019;2303;3030;3609
2098;1861;2707;13849
1049;4009;2027;6615
2727;2883;549;17099
1202;839;11887;7570
1434;5588;1266;5750
3170;2211;769;2738
2040;1597;2427;2850
1980;592;2342;6835
4640;399;4299;5465
690;955;1599;12720
16343;1099;9951;990
336;4705;2059;81200
2967;738;184;5560
1978;599;3899;11590
2098;3499;1099;25365
7157;5023;909;565
909;4999;1082;1750
12000;2350;208;4990
567;1899;4253;2328
2139;3199;780;2755
3312;5799;2295;371
1979;18819;1717;21300
